id,value
id_0,5.246913422216757
id_1,17.05557235370396
id_2,24.077395893360425
id_3,7.815354759430845
id_4,26.901140897046773
id_5,21.592253694651472
id_6,23.666798112939926
id_7,30.47914913891247
id_8,17.043258321512788
id_9,57.62714299877905
id_10,13.0184322515147
id_11,10.226397617131415
id_12,61.64842200848757
id_13,52.261454738131896
id_14,22.064380295191604
id_15,11.573366136245225
id_16,31.624745670191007
id_17,67.9089571130691
id_18,-0.07794336162906879
id_19,16.93759465440834
id_20,42.03005433340489
id_21,71.09571819775888
id_22,9.18387529251004
id_23,18.508560196977264
id_24,14.2921858673005
id_25,38.21344726253505
id_26,14.582636315831955
id_27,72.96235787319875
id_28,7.197837379845788
id_29,55.35822856659124
id_30,23.30256475485936
id_31,8.832853929439374
id_32,3.0234780739318614
id_33,20.1314169427176
id_34,29.578620058639473
id_35,36.996444947081926
id_36,43.00702769176769
id_37,30.561838442059255
id_38,42.761187408502444
id_39,35.608669004844785
id_40,7.436526906580381
id_41,40.30763381635667
id_42,31.438734810357854
id_43,50.051559814075894
id_44,16.109293001665794
id_45,35.63541503040809
id_46,24.504503326040968
id_47,10.542888855567545
id_48,24.365788519018263
id_49,32.64030159754936
id_50,20.109862133456225
id_51,8.886266970251118
id_52,21.728357791127298
id_53,53.089437735641084
id_54,15.764737795787688
id_55,35.72317816490704
id_56,32.544238059455324
id_57,22.471839128925303
id_58,58.08410723024328
id_59,22.036895203757737
id_60,15.060095018997787
id_61,42.80273045693596
id_62,12.73409825843689
id_63,49.91970159251959
id_64,14.577356837336563
id_65,16.19108829846362
id_66,14.235451550033641
id_67,-0.4962698169606752
id_68,43.17859685875991
id_69,30.494956254942693
id_70,20.594994819058005
id_71,40.31699036293654
id_72,59.79797743370271
id_73,5.060350001371992
id_74,17.190957258834317
id_75,5.197359779195091
id_76,39.29119867118085
id_77,14.548896824295413
id_78,22.810527451562802
id_79,22.084838792645076
id_80,24.59255728098861
id_81,37.29204622984686
id_82,22.06771465146874
id_83,91.80233363706698
id_84,35.90342777669919
id_85,26.62086274648638
id_86,22.182921327761086
id_87,32.200780565743315
id_88,23.86522336953499
id_89,21.9660770809392
id_90,29.495567952522237
id_91,40.75189735409851
id_92,4.340025534620057
id_93,38.08222995563333
id_94,46.24290130790672
id_95,16.00721539703608
id_96,32.994422280487036
id_97,12.431636550506154
id_98,24.456106397312617
id_99,3.97120890192322
id_100,19.08897288718226
id_101,27.980729148854422
id_102,13.918386659285677
id_103,16.07730373382742
id_104,23.36493140544844
id_105,39.51420286159062
id_106,30.001844160263545
id_107,7.53499481842676
id_108,7.43265006080534
id_109,78.56218587853807
id_110,46.69923797692545
id_111,15.68765384475347
id_112,27.49776069890494
id_113,15.271945791059498
id_114,13.763592041102047
id_115,25.229916829907353
id_116,25.48038854112943
id_117,10.324085344188937
id_118,18.596186555536157
id_119,19.246555562956942
id_120,80.9962421176729
id_121,25.15623537886662
id_122,35.56221085728987
id_123,24.457614303744073
id_124,7.896611580383487
id_125,40.28870607384019
id_126,9.693328189810757
id_127,20.94332574564521
id_128,28.947180179016712
id_129,62.67688502023388
id_130,21.831374183182735
id_131,23.267824648850123
id_132,58.773847980249855
id_133,14.960036919752124
id_134,14.345387240770844
id_135,2.255095812647972
id_136,12.002642463357095
id_137,58.40035055214281
id_138,18.968872537456022
id_139,5.927356812877955
id_140,27.904218121339202
id_141,25.533495146528505
id_142,43.941636484259476
id_143,29.77205749348812
id_144,17.948770072537222
id_145,26.10288629718076
id_146,11.080173123862838
