id,value
id_0,7.227735839770833
id_1,17.916587906004256
id_2,26.60054428644079
id_3,7.040214935520902
id_4,26.76158830448501
id_5,22.09904865045845
id_6,21.072129001527223
id_7,31.75914581746062
id_8,17.960050213322337
id_9,54.034799562191644
id_10,14.142037969269238
id_11,11.6366288440267
id_12,56.86865761975476
id_13,52.33126827899974
id_14,21.08592832041086
id_15,10.45891255921894
id_16,30.89802199363108
id_17,69.54890000856659
id_18,1.1237976632715556
id_19,16.411879157644695
id_20,42.76141560358695
id_21,66.75602421165203
id_22,8.426070160080322
id_23,17.952514940176698
id_24,13.717528091809399
id_25,41.80560326192502
id_26,14.164540843155436
id_27,68.87538687327087
id_28,8.523983681070629
id_29,53.96673721821979
id_30,40.86956516717213
id_31,7.726853661716723
id_32,6.840332831614272
id_33,27.089748893678134
id_34,31.40707096163689
id_35,34.48062247532592
id_36,43.02848658474459
id_37,29.19284142659155
id_38,44.381791779172055
id_39,37.028937838569085
id_40,6.955564892500825
id_41,37.65377656388077
id_42,33.99334195971473
id_43,52.48938065875526
id_44,13.108558577405093
id_45,37.13349158852796
id_46,25.277989919990326
id_47,10.834830284235094
id_48,23.7448111401353
id_49,31.178330651603826
id_50,21.139044110571938
id_51,6.940554325946714
id_52,27.58206153292469
id_53,51.99418226853569
id_54,16.242531477170644
id_55,33.476861618529604
id_56,31.43763220315743
id_57,23.401496535857078
id_58,59.900067745601106
id_59,19.60218590882709
id_60,14.962682274601931
id_61,43.79340245468458
id_62,14.938258358987364
id_63,50.77606922435985
id_64,16.401132398274658
id_65,17.214072978401635
id_66,13.761024696758303
id_67,1.7124202479935424
id_68,46.72113964603421
id_69,31.701874161624065
id_70,21.324071415298533
id_71,38.850377880520405
id_72,57.069328363354735
id_73,6.280455054306513
id_74,15.82669829579159
id_75,6.914341022182926
id_76,36.95983770416764
id_77,16.09827099417314
id_78,27.909868702424863
id_79,21.770520199994284
id_80,20.74483024220377
id_81,37.49034771808912
id_82,20.763246872147633
id_83,90.46810651871434
id_84,34.96457418410521
id_85,29.509484933635097
id_86,24.29595334597865
id_87,31.333627774844725
id_88,24.250550935032695
id_89,22.03569913413655
id_90,30.709750664029666
